Value,Time,Degrees
0,0,0
0.871557427,0.005,5
1.736481777,0.01,10
2.588190451,0.015,15
3.420201433,0.02,20
4.226182617,0.025,25
5,0.03,30
5.735764364,0.035,35
6.427876097,0.04,40
7.071067812,0.045,45
7.660444431,0.05,50
8.191520443,0.055,55
8.660254038,0.06,60
9.06307787,0.065,65
9.396926208,0.07,70
9.659258263,0.075,75
9.84807753,0.08,80
9.961946981,0.085,85
10,0.09,90
9.961946981,0.095,95
9.84807753,0.1,100
9.659258263,0.105,105
9.396926208,0.11,110
9.06307787,0.115,115
8.660254038,0.12,120
8.191520443,0.125,125
7.660444431,0.13,130
7.071067812,0.135,135
6.427876097,0.14,140
5.735764364,0.145,145
5,0.15,150
4.226182617,0.155,155
3.420201433,0.16,160
2.588190451,0.165,165
1.736481777,0.17,170
0.871557427,0.175,175
1.22515E-15,0.18,180
-0.871557427,0.185,185
-1.736481777,0.19,190
-2.588190451,0.195,195
-3.420201433,0.2,200
-4.226182617,0.205,205
-5,0.21,210
-5.735764364,0.215,215
-6.427876097,0.22,220
-7.071067812,0.225,225
-7.660444431,0.23,230
-8.191520443,0.235,235
-8.660254038,0.24,240
-9.06307787,0.245,245
-9.396926208,0.25,250
-9.659258263,0.255,255
-9.84807753,0.26,260
-9.961946981,0.265,265
-10,0.27,270
-9.961946981,0.275,275
-9.84807753,0.28,280
-9.659258263,0.285,285
-9.396926208,0.29,290
-9.06307787,0.295,295
-8.660254038,0.3,300
-8.191520443,0.305,305
-7.660444431,0.31,310
-7.071067812,0.315,315
-6.427876097,0.32,320
-5.735764364,0.325,325
-5,0.33,330
-4.226182617,0.335,335
-3.420201433,0.34,340
-2.588190451,0.345,345
-1.736481777,0.35,350
-0.871557427,0.355,355
0,0.36,0
0.871557427,0.365,5
1.736481777,0.37,10
2.588190451,0.375,15
3.420201433,0.38,20
4.226182617,0.385,25
5,0.39,30
5.735764364,0.395,35
6.427876097,0.4,40
7.071067812,0.405,45
7.660444431,0.41,50
8.191520443,0.415,55
8.660254038,0.42,60
9.06307787,0.425,65
9.396926208,0.43,70
9.659258263,0.435,75
9.84807753,0.44,80
9.961946981,0.445,85
10,0.45,90
9.961946981,0.455,95
9.84807753,0.46,100
9.659258263,0.465,105
9.396926208,0.47,110
9.06307787,0.475,115
8.660254038,0.48,120
8.191520443,0.485,125
7.660444431,0.49,130
7.071067812,0.495,135
6.427876097,0.5,140
5.735764364,0.505,145
5,0.51,150
4.226182617,0.515,155
3.420201433,0.52,160
2.588190451,0.525,165
1.736481777,0.53,170
0.871557427,0.535,175
1.22515E-15,0.54,180
-0.871557427,0.545,185
-1.736481777,0.55,190
-2.588190451,0.555,195
-3.420201433,0.56,200
-4.226182617,0.565,205
-5,0.57,210
-5.735764364,0.575,215
-6.427876097,0.58,220
-7.071067812,0.585,225
-7.660444431,0.59,230
-8.191520443,0.595,235
-8.660254038,0.6,240
-9.06307787,0.605,245
-9.396926208,0.61,250
-9.659258263,0.615,255
-9.84807753,0.62,260
-9.961946981,0.625,265
-10,0.63,270
-9.961946981,0.635,275
-9.84807753,0.64,280
-9.659258263,0.645,285
-9.396926208,0.65,290
-9.06307787,0.655,295
-8.660254038,0.66,300
-8.191520443,0.665,305
-7.660444431,0.67,310
-7.071067812,0.675,315
-6.427876097,0.68,320
-5.735764364,0.685,325
-5,0.69,330
-4.226182617,0.695,335
-3.420201433,0.7,340
-2.588190451,0.705,345
-1.736481777,0.71,350
-0.871557427,0.715,355
0,0.72,0
0.871557427,0.725,5
1.736481777,0.73,10
2.588190451,0.735,15
3.420201433,0.74,20
4.226182617,0.745,25
5,0.75,30
5.735764364,0.755,35
6.427876097,0.76,40
7.071067812,0.765,45
7.660444431,0.77,50
8.191520443,0.775,55
8.660254038,0.78,60
9.06307787,0.785,65
9.396926208,0.79,70
9.659258263,0.795,75
9.84807753,0.8,80
9.961946981,0.805,85
10,0.81,90
9.961946981,0.815,95
9.84807753,0.82,100
9.659258263,0.825,105
9.396926208,0.83,110
9.06307787,0.835,115
8.660254038,0.84,120
8.191520443,0.845,125
7.660444431,0.85,130
7.071067812,0.855,135
6.427876097,0.86,140
5.735764364,0.865,145
5,0.87,150
4.226182617,0.875,155
3.420201433,0.88,160
2.588190451,0.885,165
1.736481777,0.89,170
0.871557427,0.895,175
1.22515E-15,0.9,180
-0.871557427,0.905,185
-1.736481777,0.91,190
-2.588190451,0.915,195
-3.420201433,0.92,200
-4.226182617,0.925,205
-5,0.93,210
-5.735764364,0.935,215
-6.427876097,0.94,220
-7.071067812,0.945,225
-7.660444431,0.95,230
-8.191520443,0.955,235
-8.660254038,0.96,240
-9.06307787,0.965,245
-9.396926208,0.97,250
-9.659258263,0.975,255
-9.84807753,0.98,260
-9.961946981,0.985,265
-10,0.99,270
-9.961946981,0.995,275
-9.84807753,1,280
